Date,RSI,K(14),R(14),MACD,Signal,PROC,OBV,Increase
2017-07-05,0.0,43.620275313400406,-56.379724686599594,-1.6439806847149612,-0.998047018640076,-0.0324394325869878,-20709780.0,-1
2017-07-06,0.0,45.64313430494732,-54.35686569505268,-1.852439400306821,-1.1689254949734251,-0.034370164366648095,-21752042.0,-1
2017-07-07,0.0,50.14571404839789,-49.854285951602115,-2.0474448810104775,-1.3446293721808356,-0.035709156072489145,-22394567.0,-1
2017-07-10,0.0,50.73854554475532,-49.26145445524468,-2.1793293503725977,-1.511569367819188,-0.03505190204067847,-23568364.0,-1
2017-07-11,0.0,49.717326280232456,-50.282673719767544,-2.2703173812149373,-1.663318970498338,-0.03310404866313398,-24338032.0,-1
2017-07-12,4.846292493303295,52.27191248189595,-47.72808751810405,-2.284474405624991,-1.7875500575236687,-0.027570419352893626,-22926513.0,-1
2017-07-13,5.963870761125307,52.72893259357192,-47.27106740642808,-2.2639402016577037,-1.8828280863504758,-0.02331062088934444,-21947068.0,-1
2017-07-14,6.870569470370569,53.14025069408033,-46.85974930591967,-2.217019467719979,-1.9496663626243764,-0.017786903648170985,-21150679.0,-1
2017-07-17,8.77183583011518,71.51733846039726,-28.482661539602756,-2.146599555050983,-1.9890530011096978,-0.012270010049889934,-20393011.0,-1
2017-07-18,9.607188872268125,70.65920354338125,-29.34079645661875,-2.0748660555292133,-2.006215611993601,-0.009744418097685812,-21988594.0,-1
2017-07-19,11.778471971529413,71.14571578025243,-28.854284219747573,-1.990539084427894,-2.00308030648046,-0.005626869695803678,-21011859.0,-1
2017-07-20,14.225666804060097,70.81434560642916,-29.185654393570836,-1.9048383421540507,-1.9834319136151781,-0.0015594353874563514,-22846256.0,-1
2017-07-21,16.90613840802844,68.9077415970469,-31.092258402953117,-1.8335443327974588,-1.9534543974516343,0.0007401330948044694,-23947556.0,-1
2017-07-24,18.027666705170503,65.93306205427794,-34.066937945722046,-1.784186075133448,-1.9196007329879972,-0.0008927080613631028,-24934199.0,-1
2017-07-25,19.751313161272464,62.346736232365515,-37.65326376763448,-1.7582091144281549,-1.8873224092760288,-0.0022378148502846403,-26085549.0,1
2017-07-26,24.193612280922167,60.17035249875998,-39.82964750124002,-1.7327323965138248,-1.856404406723588,-0.005250227738804584,-27133682.0,-1
2017-07-27,30.012551918707288,48.6216644387056,-51.3783355612944,-1.7019388500786476,-1.8255112953946002,-0.0061958097016509795,-27947560.0,-1
2017-07-28,26.65588207909677,46.06194460666734,-53.93805539333266,-1.683827011325917,-1.7971744385808637,-0.00818166799295205,-28799310.0,-1
2017-07-31,26.814977378028473,44.52592753033652,-55.47407246966348,-1.6617245584446891,-1.770084462553629,-0.00946095066947748,-29728671.0,-1
2017-08-01,12.879701798976797,43.23123745780386,-56.768762542196136,-1.634975737312402,-1.7430627175053837,-0.009570536568741945,-30562883.0,-1
2017-08-02,8.558054935457193,43.296877339499,-56.703122660501,-1.6277684854639745,-1.7200038710971017,-0.011974082960162934,-31554304.0,-1
2017-08-03,5.486714208057634,45.642105478218646,-54.35789452178136,-1.6340035813097131,-1.7028038131396241,-0.0137641889846933,-32280324.0,1
2017-08-04,1.731301344354378,41.95377826247571,-58.04622173752429,-1.6528083383786054,-1.6928047181874204,-0.014759372206678752,-32745903.0,1
2017-08-07,1.5667412238625786,41.88298965569089,-58.11701034430911,-1.6837883130098419,-1.6910014371519049,-0.015289317100079712,-33318009.0,1
2017-08-08,0.0,50.513305754727234,-49.48669424527276,-1.7236660429744575,-1.6975343583164155,-0.015438449975898242,-33953325.0,1
2017-08-09,0.0,62.299669020961524,-37.70033097903848,-1.7865445569464384,-1.7153363980424203,-0.017842482944006158,-35233506.0,1
2017-08-10,0.0,67.44483905503797,-32.55516094496203,-1.8770549630493747,-1.7476801110438114,-0.021316404793042035,-36184784.0,1
2017-08-11,0.0,63.215511556089254,-36.784488443910746,-1.9910383301489958,-1.7963517548648484,-0.02392322423819165,-36916085.0,1
2017-08-14,0.0,58.53870430287108,-41.46129569712891,-2.103431164185679,-1.8577676367290148,-0.026214326860576558,-38106514.0,1
2017-08-15,0.0,53.605904823932285,-46.394095176067715,-2.21580283647657,-1.929374676678526,-0.028787520083828684,-39216431.0,1
2017-08-16,0.0,48.63105396928099,-51.36894603071901,-2.33042076093804,-2.009583893530429,-0.030133965579813564,-39877016.0,1
2017-08-17,0.0,50.22392822432165,-49.77607177567836,-2.4519015089849177,-2.0980474166213265,-0.03203553220156672,-41234211.0,1
2017-08-18,0.0,56.06013608862293,-43.93986391137707,-2.5882944721265346,-2.1960968277223682,-0.034534090912887554,-42731996.0,1
2017-08-21,0.0,51.237531663322464,-48.762468336677536,-2.7330526015122985,-2.3034879824803545,-0.03676341133762329,-43461244.0,1
2017-08-22,0.0,57.38509628488979,-42.614903715110216,-2.8624517324812757,-2.4152807324805385,-0.03767096232946456,-44777168.0,1
2017-08-23,0.0,56.40490633053064,-43.59509366946936,-2.971697670308913,-2.5265641200462134,-0.03707829498830993,-45740195.0,1
2017-08-24,0.0,57.97740282666097,-42.02259717333903,-3.0283052132401167,-2.626912338684994,-0.033422036797299486,-46985155.0,1
2017-08-25,1.492062799078326,61.84916627612566,-38.15083372387434,-3.028370826010132,-2.7072040361500216,-0.028559929501893937,-46128720.0,1
2017-08-28,4.226574950146897,75.944395931839,-24.055604068161,-2.9767421898703788,-2.761111666894093,-0.02438920664135574,-45373088.0,1
2017-08-29,4.571163115533196,75.56800352054496,-24.43199647945503,-2.9055932363826287,-2.7900079807918003,-0.021410213397205304,-46506787.0,1
2017-08-30,4.869972654734298,72.59767204844478,-27.402327951555232,-2.84217862422841,-2.8004421094791225,-0.01968819112324394,-47381274.0,1
2017-08-31,5.31236738681892,70.45069791086246,-29.54930208913754,-2.7784942564567245,-2.796052538874643,-0.017041161025355987,-48993898.0,1
2017-09-01,5.706452157191137,69.19511762291944,-30.804882377080574,-2.7076894547851396,-2.7783799220567427,-0.01310868060830317,-49827982.0,1
2017-09-04,6.205386128325614,67.9899021337169,-32.0100978662831,-2.631681480791059,-2.749040233803606,-0.009229524308700622,-50553147.0,1
2017-09-05,6.779044778871082,66.22848333448393,-33.771516665516074,-2.557227045303563,-2.7106775961035976,-0.007040141696710892,-51432265.0,1
2017-09-06,7.793716345152632,65.47030352269798,-34.52969647730203,-2.476245459100113,-2.663791168702901,-0.004698903493732152,-52595432.0,1
2017-09-07,14.88134829512849,66.14682372819178,-33.85317627180822,-2.3678840071902982,-2.6046097364003806,-0.003201294523212433,-51577327.0,1
2017-09-08,24.15195556659907,64.26184002190531,-35.73815997809468,-2.24161927424106,-2.5320116439685165,-0.0028792096349552986,-50904991.0,1
2017-09-11,30.069900369662847,64.27032564214919,-35.729674357850804,-2.1170847893216944,-2.449026273039152,-0.004062074708078901,-49963603.0,1
2017-09-12,38.06680853937364,55.82778240262225,-44.17221759737775,-1.9953314687976729,-2.358287312190856,-0.0038353796883605832,-48042128.0,1
2017-09-13,38.335135309074644,50.3903499368599,-49.609650063140094,-1.881014310069105,-2.262832711766506,-0.0023391585580020543,-48964332.0,1
2017-09-14,36.58323524739069,51.42273164792922,-48.577268352070774,-1.7644288533528254,-2.16315194008377,-0.0006740599481140325,-48060696.0,1
2017-09-15,26.377180843876104,56.45359478132944,-43.54640521867056,-1.662120967237371,-2.06294574551449,-0.0005622710766356257,-49338311.0,1
2017-09-18,24.69289653824262,53.78117765002371,-46.21882234997629,-1.5757590848088796,-1.9655084133733682,-0.0007307974438814339,-50178381.0,1
2017-09-19,23.838298325979835,60.62443700261132,-39.37556299738868,-1.5209204629597934,-1.8765908232906534,-0.0018263526798119206,-51464524.0,1
2017-09-20,22.5700475375304,56.38014871093141,-43.619851289068585,-1.487682584455257,-1.7988091755235742,-0.003262389259564645,-52849502.0,1
2017-09-21,19.75115846244148,51.045284599714,-48.95471540028599,-1.4787009950066476,-1.734787539420189,-0.006793266635614012,-54154527.0,1
2017-09-22,18.09281165811322,48.816903433399155,-51.18309656660085,-1.482204857347142,-1.6842710030055799,-0.009695436934671944,-55041174.0,1
2017-09-25,19.326094320935624,48.4982990537878,-51.5017009462122,-1.4701721540867254,-1.641451233221809,-0.009846987241118729,-56518805.0,1
2017-09-26,19.735471669063585,48.11447923862934,-51.885520761370664,-1.4465366320577573,-1.6024683129889987,-0.010028220732426124,-57472452.0,1
2017-09-27,10.791444171432943,46.08035909414648,-53.91964090585352,-1.4279931149640959,-1.5675732733840182,-0.01091177766342693,-58267806.0,1
2017-09-28,3.133798454591741,44.51163403417876,-55.48836596582124,-1.407496601241803,-1.5355579389555754,-0.01201391009824393,-59042001.0,1
2017-09-29,7.235188585836369,54.896035017414036,-45.103964982585964,-1.367285067357102,-1.5019033646358808,-0.010819405572475578,-57297918.0,1
2017-10-02,15.336770569618366,56.891413443507425,-43.108586556492575,-1.3019491354529862,-1.461912518799302,-0.008668323461433,-56301003.0,1
2017-10-03,35.13239258583576,40.16733121432109,-59.83266878567891,-1.174419162349352,-1.404413847509312,-0.0022377732524820238,-54910907.0,1
2017-10-04,42.78943603350464,43.92042164226486,-56.07957835773514,-1.019933152267157,-1.3275177084608811,0.002536216327145937,-53592559.0,1
2017-10-05,53.5015301113222,43.62418744180143,-56.37581255819857,-0.8283113819725543,-1.2276764431632157,0.009067583252608633,-52264051.0,1
