Date,RSI,K(14),R(14),MACD,Signal,PROC,OBV,Increase
2014-01-23,81.89612355588625,32.98283808838343,-67.01716191161657,0.021378508265737395,0.014852557650301908,0.0038714390913220254,41082159.0,1
2014-01-24,63.15341079626546,38.21404898192668,-61.78595101807333,0.019378155417811627,0.015757677203803853,0.0003245026631733888,31820717.0,1
2014-01-27,46.33278721157706,51.65346802414592,-48.346531975854084,0.013523797739384946,0.015310901310920073,-0.0022516788811548566,22475068.0,1
2014-01-28,37.98985514515194,47.51752592350631,-52.48247407649369,0.00379241320839796,0.013007203690415652,-0.004825916179909395,14040111.0,1
2014-01-29,23.104379844957535,66.2986287118535,-33.7013712881465,-0.016795193027462574,0.007046724346840007,-0.01283382609797111,-31006666.0,1
2014-01-30,13.142704612830201,61.629548140881155,-38.370451859118845,-0.04329709974317808,-0.00302204047116361,-0.01932301686868284,-44254556.0,1
2014-01-31,10.843353272598577,59.11364993039015,-40.88635006960985,-0.06925930214399045,-0.01626949280572898,-0.022078918612915374,-64888586.0,1
2014-02-03,9.80491747797663,56.61405214413489,-43.38594785586511,-0.09446591534896953,-0.03190877731437709,-0.025362907596431176,-75826956.0,1
2014-02-04,7.068492829255277,53.54088107192532,-46.45911892807468,-0.12009095064667719,-0.04954521198083711,-0.029534319781491358,-84426895.0,1
2014-02-05,5.238939277077236,50.50052281065456,-49.49947718934544,-0.14567755001835536,-0.06877167958834077,-0.03472272484639499,-92016835.0,1
2014-02-06,5.103980397294279,49.332823255243866,-50.667176744756134,-0.16670571299888337,-0.08835848627044929,-0.036667798932996695,-105872407.0,1
2014-02-07,4.908830680649743,48.7917075242029,-51.2082924757971,-0.1825052194703538,-0.10718783291043019,-0.035309815904264574,-113765367.0,1
2014-02-10,4.639843910745199,48.85371868407486,-51.14628131592514,-0.19266362342886367,-0.12428299101411688,-0.032974836511800505,-108218388.0,1
2014-02-11,2.3678238053011285,49.144818124773074,-50.85518187522692,-0.19776830133719514,-0.13898005307873254,-0.0298138462593436,-101222098.0,1
2014-02-12,1.1671339136930072,55.7669755578166,-44.23302444218341,-0.20184903092784978,-0.15155384864855598,-0.023891153777454942,-111034665.0,1
2014-02-13,2.081801131265337,73.84344891525532,-26.156551084744674,-0.20218581554688697,-0.16168024202822218,-0.017539665811141435,-103072971.0,1
2014-02-14,4.663384752955125,74.90223295820131,-25.097767041798697,-0.19857680480559026,-0.1690595545836958,-0.013341909139147177,-95782099.0,1
2014-02-17,8.967125515970167,76.5736762801596,-23.426323719840386,-0.1910097325012572,-0.17344959016720807,-0.00860364049941616,-92323710.0,1
2014-02-18,12.902866690841648,75.96871770750484,-24.03128229249516,-0.182095029070112,-0.17517867794778888,-0.004054909432638493,-85451966.0,1
2014-02-19,18.304105410767633,68.664867182375,-31.335132817625,-0.1722183401261006,-0.17458661038345122,0.0004918773141053018,-78897768.0,1
2014-02-20,23.820524032760844,69.6135279247597,-30.386472075240295,-0.16151599905790093,-0.17197248811834118,0.002656495941994531,-72899833.0,1
2014-02-21,31.052840987641062,70.55131122251417,-29.44868877748582,-0.15030022790899622,-0.1676380360764722,0.003974494096705267,-64660014.0,1
2014-02-24,45.4309972334293,72.31969550911911,-27.680304490880875,-0.13793306651319526,-0.16169704216381683,0.005000355029138922,-55693679.0,1
2014-02-25,68.455009365105,68.03656654521338,-31.963433454786628,-0.12410424003979159,-0.15417848173901177,0.0061324392597372065,-42902868.0,1
2014-02-26,82.46898961593361,55.9298121994658,-44.07018780053421,-0.10856862859883165,-0.14505651111097576,0.00948530547801843,-37436693.0,1
2014-02-27,89.18597341764804,59.18738010382102,-40.81261989617898,-0.09264514620821274,-0.13457423813042316,0.010644372787853457,-30185208.0,1
2014-02-28,90.37005783975792,57.51965782050637,-42.48034217949363,-0.07631831756282637,-0.12292305401690382,0.011363221426698824,-21249730.0,1
2014-03-03,86.94763395806397,56.50454594554707,-43.49545405445293,-0.06351251599738816,-0.11104094641300069,0.009369730482642155,-28911680.0,1
2014-03-04,96.1352948733841,56.5382960879561,-43.4617039120439,-0.05272724456443001,-0.09937820604328657,0.008902188747150794,-22529945.0,1
2014-03-05,87.50413646892764,44.025768607487514,-55.974231392512486,-0.045780086017394694,-0.0886585820381082,0.0071667673644744976,-30293810.0,1
2014-03-06,86.70619993067547,44.23857537479597,-55.76142462520403,-0.03966817637839526,-0.07886050090616561,0.006656472056629304,-23740387.0,1
2014-03-07,78.52529510452143,41.86597183761497,-58.13402816238502,-0.03606949818394156,-0.0703023003617208,0.005094452627813668,-30163955.0,1
