Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;Label
2021-02-01;209.40;209.60;208.50;210.40;207.60;209.50;209.3637;2910194;609,299,406.04;9677;1
2021-02-02;213.30;213.50;211.30;213.60;210.40;213.60;212.3927;4600021;976,940,679.45;12274;1
2021-02-03;213.60;213.70;220.00;220.00;211.20;213.00;214.4225;12076720;2,589,500,955.94;30075;-1
2021-02-04;215.10;215.20;216.40;217.60;212.80;215.20;214.6941;8259325;1,773,124,097.25;23799;-1
2021-02-05;209.90;210.00;215.50;215.60;208.90;209.60;210.8887;6903286;1,455,768,960.15;23979;-1
2021-02-08;211.80;212.00;211.30;212.60;211.00;212.00;211.9375;3612298;765,593,091.1;10455;1
2021-02-09;213.10;213.20;212.00;213.70;210.90;213.20;212.4322;4871549;1,034,880,372.15;11243;1
2021-02-10;213.10;213.20;214.20;214.20;210.60;212.80;212.6546;5713576;1,215,002,112.15;15652;-1
2021-02-11;213.10;213.20;213.10;214.60;212.00;213.60;213.4447;3123276;666,624,137.1;8652;1
2021-02-12;210.50;210.60;213.20;213.20;210.20;210.20;211.0816;5071506;1,070,448,946.8;14319;-1
2021-02-15;211.20;211.30;211.60;212.80;211.10;211.20;211.6697;3144644;665,639,291.9;8529;-1
2021-02-16;210.80;211.00;211.20;212.10;209.50;211.00;210.9364;3536182;745,893,558.75;10199;-1
2021-02-17;211.50;211.60;211.00;214.30;210.60;212.10;212.7393;4758951;1,012,461,633.05;13622;1
2021-02-18;209.90;210.00;212.00;213.00;209.20;210.00;210.414;4825776;1,015,432,779.25;14118;-1
2021-02-19;215.70;215.80;210.70;216.50;210.10;216.50;214.4804;5965841;1,279,491,320.51;13353;1
2021-02-22;215.90;216.10;215.80;217.00;214.50;216.00;216.0508;3871172;835,062,663.95;11178;1
2021-02-23;213.30;213.40;216.70;217.00;211.80;213.30;214.0155;4777493;1,022,418,598.8;12007;-1
2021-02-24;221.00;221.10;213.30;221.90;213.30;221.50;219.1837;8408921;1,843,252,168.8;19739;1
2021-02-25;217.90;218.00;222.10;223.30;217.80;217.90;219.8598;4421489;971,883,238.15;13050;-1
2021-02-26;215.60;215.80;215.50;219.00;214.00;216.30;216.5777;5090973;1,102,606,620.95;14090;1
2021-03-01;219.80;219.90;218.10;220.40;217.80;220.40;219.6049;3591161;788,600,632.75;9798;1
2021-03-02;221.50;221.60;220.20;223.80;219.40;221.70;221.6257;3978975;881,842,775.45;12219;1
2021-03-03;225.70;225.90;223.00;226.70;223.00;226.40;225.5378;5466466;1,232,881,196.7;14694;1
2021-03-04;225.30;225.40;224.90;226.40;224.40;225.10;225.4037;4860189;1,095,673,076.4;12961;-1
2021-03-05;224.60;224.70;224.00;227.20;223.20;224.50;225.106;3988787;897,901,694.6;12162;1
2021-03-08;230.10;230.20;226.00;231.30;224.40;230.80;228.4943;5725100;1,308,082,075;13591;1
2021-03-09;235.10;235.20;231.00;235.40;230.80;235.40;233.9807;4726195;1,105,794,956.15;11832;1
2021-03-10;237.10;237.20;235.40;238.20;234.00;237.40;236.8964;5625790;1,332,446,518.09;14828;1
2021-03-11;236.30;236.40;238.00;238.00;233.70;236.40;235.8655;5847039;1,379,089,451.55;15246;-1
2021-03-12;237.00;237.10;236.00;237.50;234.40;237.50;236.4636;4623510;1,093,700,094.15;9467;1
2021-03-15;235.50;235.60;237.20;240.80;235.10;235.80;237.9564;4834242;1,150,400,216.55;12795;-1
2021-03-16;237.60;237.70;237.00;239.10;236.90;237.40;237.8592;4444078;1,057,110,396.4;10660;1
2021-03-17;236.70;236.80;237.40;238.40;235.60;236.80;236.9926;4881778;1,156,918,112;14390;1
2021-03-18;239.10;239.20;238.50;239.40;236.90;238.80;238.5638;5206128;1,241,965,138.25;14120;-1
2021-03-19;234.50;234.60;237.00;238.50;233.00;234.50;235.1286;8011339;1,883,915,616.55;14170;-1
2021-03-22;234.60;234.70;233.50;235.40;232.40;234.40;234.2699;4449573;994,820,564.6;10159;-1
2021-03-23;218.50;218.60;218.00;220.00;216.10;217.90;218.4276;14403809;3,146,326,393.9;46355;-1
2021-03-24;225.10;225.30;217.00;225.40;216.10;225.40;223.1563;8137625;1,815,253,705.55;21954;1
2021-03-25;224.70;224.80;225.00;225.80;221.80;224.90;223.9943;4840838;1,084,294,810.34;17004;1
2021-03-26;228.70;228.80;226.60;229.60;226.10;228.70;228.078;4215302;961,253,662.45;12797;1
2021-03-29;224.10;224.20;230.10;230.20;223.90;224.00;225.4459;5588226;1,259,866,964.34;17028;-1
2021-03-30;222.60;222.70;222.00;223.60;218.00;222.40;220.4162;7943638;1,750,951,197.6;23498;1
2021-03-31;221.00;221.10;222.40;223.50;220.20;220.90;221.4387;5626391;1,245,911,010.25;16645;-1
2021-04-01;209.95;210.05;206.30;213.10;205.50;210.35;209.709;5375745;1,127,356,592.67;22105;1
2021-04-06;212.30;212.35;214.50;214.50;211.60;212.35;212.6559;5752892;1,223,360,803.3;20012;-1
2021-04-07;210.05;210.10;212.85;213.30;208.00;210.00;210.118;6099571;1,281,552,706.34;21312;-1
2021-04-08;211.45;211.50;212.80;215.30;211.10;211.45;213.0242;6800975;1,448,950,531.25;20695;-1
2021-04-09;211.60;211.70;211.65;212.00;209.10;211.70;210.7841;4368091;920,727,542.04;22990;1
2021-04-12;206.65;206.75;211.70;211.90;206.15;206.80;207.1839;6297912;1,304,789,908.58;23552;-1
2021-04-13;208.35;208.45;206.80;208.55;205.80;208.50;207.8716;4752053;987,789,348.08;17666;1
2021-04-14;204.05;204.15;208.50;208.90;203.80;204.05;204.707;6948144;1,422,351,052.38;21625;-1
2021-04-15;209.70;209.75;205.00;209.80;205.00;209.45;208.5086;6048944;1,261,335,047.89;17568;1
2021-04-16;216.15;216.25;209.75;216.60;209.05;216.50;214.1664;7902921;1,692,487,834.17;21782;1
2021-04-19;211.40;211.50;217.00;217.70;211.25;211.45;213.4653;4383887;935,297,508.8;15697;-1
2021-04-20;203.35;203.45;211.45;214.15;203.30;204.40;207.1294;7636495;1,582,327,563.35;24056;-1
2021-04-21;203.90;203.95;204.60;206.75;201.55;204.00;204.2009;7340909;1,498,970,972.66;18963;1
2021-04-22;209.75;209.85;214.20;216.00;209.05;209.05;211.099;11211815;2,367,082,392.83;31448;-1
2021-04-23;211.15;211.25;211.30;213.95;208.40;211.45;211.2071;6986980;1,475,699,043.19;23066;1
2021-04-26;209.65;209.75;212.90;212.95;208.45;210.00;209.8192;4287703;899,642,030.22;18501;-1
2021-04-27;211.60;211.70;210.55;211.75;208.90;211.75;210.9516;6164178;1,300,309,430.61;17260;1
2021-04-28;210.90;211.00;212.00;212.10;208.60;210.65;210.1259;3737246;785,295,598.47;12236;-1
2021-04-29;206.55;206.70;211.00;211.30;206.30;206.50;208.1709;5126365;1,067,142,726.2;16177;-1
2021-04-30;207.60;207.70;207.00;209.35;206.85;206.85;207.9362;3313001;688,938,603.63;8145;1
2021-05-03;210.05;210.15;207.20;210.30;205.65;209.85;208.8272;4088785;853,833,853;13478;1
2021-05-04;207.05;207.15;210.50;212.60;206.90;207.35;209.1849;5417049;1,133,188,027.84;15688;-1
2021-05-05;213.20;213.30;209.10;213.40;208.65;213.40;211.7418;5219248;1,105,099,952.84;15798;1
2021-05-06;214.20;214.25;213.70;214.55;212.00;214.55;213.3951;4188728;893,751,008.43;13065;1
2021-05-07;217.50;217.55;216.85;219.05;216.30;217.40;217.5653;4728224;1,028,674,014.31;13869;1
2021-05-10;220.60;220.70;218.75;220.70;217.20;220.60;219.3912;3566370;782,429,316.89;12993;-1
2021-05-11;215.40;215.50;218.30;218.40;214.40;215.30;215.5723;4872827;1,050,423,855.86;15292;-1
2021-05-12;216.30;216.45;215.00;218.80;214.35;216.50;217.1353;2652509;575,959,240.07;9938;1
2021-05-14;220.90;220.95;219.50;221.10;216.65;220.95;219.6937;5092368;1,118,763,441.32;18301;1
2021-05-17;219.65;219.70;222.00;222.00;218.35;219.35;219.5795;3379524;742,075,509.04;12504;-1
2021-05-18;219.30;219.40;220.60;223.20;218.10;219.70;220.313;4586504;1,010,569,652.85;15813;-1
2021-05-19;212.85;212.95;217.00;217.45;210.90;212.35;213.5541;6187437;1,321,488,467.23;19376;-1
2021-05-20;213.80;213.85;213.50;214.85;211.55;213.70;213.5756;3984066;850,977,560.36;13349;1
2021-05-21;213.40;213.45;214.15;215.15;212.40;213.70;213.6283;4012633;857,208,086.19;13455;-1
2021-05-24;213.00;213.10;213.70;214.35;212.45;212.90;213.1432;2154752;459,270,434.48;7698;-1
2021-05-25;212.60;212.70;212.90;215.10;211.90;211.90;213.3195;3612543;770,695,002.44;13535;-1
2021-05-26;212.70;212.85;212.00;213.35;210.60;212.40;211.9614;3503721;742,605,020.36;13082;1
2021-05-27;220.35;220.40;212.45;220.80;211.50;219.80;218.8991;10944757;2,395,800,883.36;26307;1
